"","Year","Area","Street","Street.2"
"1",2011,"Birmingham","Acocks̴Green","Acocks Green"
"2",2011,"Birmingham","Adderly̴Street","Adderly Street"
"3",2011,"Birmingham"," Alcester̴Raod,̴Mosley"," Alcester Raod, Mosley"
"4",2011,"Birmingham","alcester̴road","alcester road"
"5",2011,"Birmingham","alcester̴road̴moseley","alcester road moseley"
"6",2011,"Birmingham","Alcester̴Road̴Moseley","Alcester Road Moseley"
"7",2011,"Birmingham","Alfred̴Street","Alfred Street"
"8",2011,"Birmingham"," All̴service̴club,̴Mosley"," All service club, Mosley"
"9",2011,"Birmingham","Alum̴Rock̴Road","Alum Rock Road"
"10",2011,"Birmingham","Alum̴Rock̴Road","Alum Rock Road"
"11",2011,"Birmingham","Alum̴Rock̴Road","Alum Rock Road"
"12",2011,"Birmingham","Alum̴Rock̴Road","Alum Rock Road"
"13",2011,"Birmingham","arcadian̴centre","arcadian centre"
"14",2011,"Birmingham"," Arden̴Road,̴Saltley"," Arden Road, Saltley"
"15",2011,"Birmingham"," Asda,̴Chemsley̴Wood"," Asda, Chemsley Wood"
"16",2011,"Birmingham"," Balsahll̴Heath̴Park,̴J/W̴Brighton̴road"," Balsahll Heath Park, J/W Brighton road"
"17",2011,"Birmingham","Bamford̴Road","Bamford Road"
"18",2011,"Birmingham","Bamford̴Road","Bamford Road"
"19",2011,"Birmingham","BeechBrook̴Avenue̴Sparkhill","BeechBrook Avenue Sparkhill"
"20",2011,"Birmingham","Belchers̴Lane","Belchers Lane"
"21",2011,"Birmingham","Belchers̴Lane","Belchers Lane"
"22",2011,"Birmingham","Belchers̴Lane","Belchers Lane"
"23",2011,"Birmingham"," Belchers̴Lane,̴Bordesley̴Green"," Belchers Lane, Bordesley Green"
"24",2011,"Birmingham","Bell̴Street","Bell Street"
"25",2011,"Birmingham"," Berkley̴Rd̴East̴,̴̴Haymills."," Berkley Rd East ,  Haymills."
"26",2011,"Birmingham","birmingham̴airport","birmingham airport"
"27",2011,"Birmingham","Birmingham̴International̴railway̴station","Birmingham International railway station"
"28",2011,"Birmingham","Bordesley̴Green","Bordesley Green"
"29",2011,"Birmingham"," Bordesley̴Green̴,̴̴Bordesley̴Green."," Bordesley Green ,  Bordesley Green."
"30",2011,"Birmingham","Bristol̴Road","Bristol Road"
"31",2011,"Birmingham","Bristol̴Street","Bristol Street"
"32",2011,"Birmingham","Broad̴Street","Broad Street"
"33",2011,"Birmingham","Broad̴Street","Broad Street"
"34",2011,"Birmingham","Broad̴Street̴Birmingham","Broad Street Birmingham"
"35",2011,"Birmingham","Buckland̴End̴Lane̴Shard̴End","Buckland End Lane Shard End"
"36",2011,"Birmingham"," Bulls̴Head̴PH,̴St̴Marys̴Row"," Bulls Head PH, St Marys Row"
"37",2011,"Birmingham"," Bushbury̴Road,̴Kitts̴Green"," Bushbury Road, Kitts Green"
"38",2011,"Birmingham","Chartice̴Road","Chartice Road"
"39",2011,"Birmingham","Chestnut̴Road","Chestnut Road"
"40",2011,"Birmingham"," church̴rd,̴stechford"," church rd, stechford"
"41",2011,"Birmingham"," Church̴Road,̴Sheldon"," Church Road, Sheldon"
"42",2011,"Birmingham","Clifford̴RD̴Dorridge.","Clifford RD Dorridge."
"43",2011,"Birmingham","Clock̴Lane","Clock Lane"
"44",2011,"Birmingham"," Colonial̴road,̴Bordesley̴Green`"," Colonial road, Bordesley Green`"
"45",2011,"Birmingham"," Corporation̴St,Birmingham"," Corporation St,Birmingham"
"46",2011,"Birmingham","corporation̴street","corporation street"
"47",2011,"Birmingham","Coventry̴rd̴Small̴heath","Coventry rd Small heath"
"48",2011,"Birmingham"," COVENTRY̴RD,̴SMALL̴HEATH,̴BHAM"," COVENTRY RD, SMALL HEATH, BHAM"
"49",2011,"Birmingham","Coventry̴Road","Coventry Road"
"50",2011,"Birmingham","Coventry̴Road","Coventry Road"
"51",2011,"Birmingham","Coventry̴Road","Coventry Road"
"52",2011,"Birmingham","Coventry̴Road","Coventry Road"
"53",2011,"Birmingham","Coventry̴Road","Coventry Road"
"54",2011,"Birmingham"," Coventry̴road,̴Small̴heath"," Coventry road, Small heath"
"55",2011,"Birmingham"," Coventry̴Road,̴Small̴Heath"," Coventry Road, Small Heath"
"56",2011,"Birmingham"," coventry̴road,small̴heath"," coventry road,small heath"
"57",2011,"Birmingham","Cranes̴Park̴Road","Cranes Park Road"
"58",2011,"Birmingham","Cranes̴Park̴Road̴Sheldon","Cranes Park Road Sheldon"
"59",2011,"Birmingham","crossfield̴road","crossfield road"
"60",2011,"Birmingham","Crossfields̴Road̴Kitts̴Green","Crossfields Road Kitts Green"
"61",2011,"Birmingham"," cxhurch̴rd,̴stechford,̴bham"," cxhurch rd, stechford, bham"
"62",2011,"Birmingham","digbeth̴high̴street","digbeth high street"
"63",2011,"Birmingham","Edgbaston̴road","Edgbaston road"
"64",2011,"Birmingham","Edward̴Road.̴Moseley","Edward Road. Moseley"
"65",2011,"Birmingham","Fighting̴Cox̴PH","Fighting Cox PH"
"66",2011,"Birmingham"," Foremans̴road,̴sparkhill"," Foremans road, sparkhill"
"67",2011,"Birmingham"," front̴office,̴kings̴heath"," front office, kings heath"
"68",2011,"Birmingham"," Garretts̴Green̴Road,̴Garretts̴Green"," Garretts Green Road, Garretts Green"
"69",2011,"Birmingham","Giles̴Close","Giles Close"
"70",2011,"Birmingham"," GILES̴CLOSE,̴STECHFORD"," GILES CLOSE, STECHFORD"
"71",2011,"Birmingham","glazedale̴road","glazedale road"
"72",2011,"Birmingham","Gospel̴Farm̴Road","Gospel Farm Road"
"73",2011,"Birmingham","Gospel̴Farm̴Road","Gospel Farm Road"
"74",2011,"Birmingham","gospel̴lane","gospel lane"
"75",2011,"Birmingham","gospel̴lane","gospel lane"
"76",2011,"Birmingham","Gospel̴Lane","Gospel Lane"
"77",2011,"Birmingham"," Gospel̴lane,̴acocks̴green"," Gospel lane, acocks green"
"78",2011,"Birmingham"," Grace̴Church,̴Sutton̴Coldfield"," Grace Church, Sutton Coldfield"
"79",2011,"Birmingham","Great̴Hampton̴Street","Great Hampton Street"
"80",2011,"Birmingham","Green̴Lane","Green Lane"
"81",2011,"Birmingham","Greswell̴lane̴Shard̴End","Greswell lane Shard End"
"82",2011,"Birmingham"," Harlequin̴drive,̴Mosley"," Harlequin drive, Mosley"
"83",2011,"Birmingham","Haslucks̴Green̴Road","Haslucks Green Road"
"84",2011,"Birmingham","Hazeldean̴Road","Hazeldean Road"
"85",2011,"Birmingham","Heartlands̴Hospital","Heartlands Hospital"
"86",2011,"Birmingham","Heartlands̴Hospital","Heartlands Hospital"
"87",2011,"Birmingham","Heartlands̴Hospital̴A̴&̴E.","Heartlands Hospital A & E."
"88",2011,"Birmingham","Heartlands̴Hospital̴A̴&̴E.","Heartlands Hospital A & E."
"89",2011,"Birmingham","heartlands̴hospital̴A̴&̴E.","heartlands hospital A & E."
"90",2011,"Birmingham","Hepben̴Grove","Hepben Grove"
"91",2011,"Birmingham","Herrick̴Road","Herrick Road"
"92",2011,"Birmingham"," Herrick̴Road,̴Washwood̴Heath"," Herrick Road, Washwood Heath"
"93",2011,"Birmingham"," Herrick̴Road,̴Washwood̴Heath"," Herrick Road, Washwood Heath"
"94",2011,"Birmingham","High̴St̴Solihull","High St Solihull"
"95",2011,"Birmingham","HIGH̴STREET̴KINGS̴HEATH","HIGH STREET KINGS HEATH"
"96",2011,"Birmingham","High̴Street̴Kings̴Heath","High Street Kings Heath"
"97",2011,"Birmingham"," high̴street,̴kings̴heath"," high street, kings heath"
"98",2011,"Birmingham","Hob̴Moor̴Road̴at̴Starbank̴Road","Hob Moor Road at Starbank Road"
"99",2011,"Birmingham","Holloway̴head̴Bham̴City̴centre","Holloway head Bham City centre"
"100",2011,"Birmingham","Hollywell̴Road","Hollywell Road"
"101",2011,"Birmingham","home̴address","home address"
"102",2011,"Birmingham","Home̴Address","Home Address"
"103",2011,"Birmingham","Homer̴street","Homer street"
