"","X.1","X","Year","Area","Street"
"1",1,1,2011,"Birmingham","Acocks Green"
"2",2,2,2011,"Birmingham","Adderly Str."
"3",3,3,2011,"Birmingham","Alcester Raod  Mosley"
"4",4,4,2011,"Birmingham","Alcester Str."
"5",5,5,2011,"Birmingham","Alcester Str. Moseley"
"6",6,6,2011,"Birmingham","Alcester Str. Moseley"
"7",7,7,2011,"Birmingham","Alfred Str."
"8",8,8,2011,"Birmingham","All Service Club  Mosley"
"9",9,9,2011,"Birmingham","Alum Rock Str."
"10",10,10,2011,"Birmingham","Alum Rock Str."
"11",11,11,2011,"Birmingham","Alum Rock Str."
"12",12,12,2011,"Birmingham","Alum Rock Str."
"13",13,13,2011,"Birmingham","Arcadian Centre"
"14",14,14,2011,"Birmingham","Arden Str.  Saltley"
"15",15,15,2011,"Birmingham","Asda  Chemsley Wood"
"16",16,16,2011,"Birmingham","Balsahll Heath Park  J W Brighton Str."
"17",17,17,2011,"Birmingham","Bamford Str."
"18",18,18,2011,"Birmingham","Bamford Str."
"19",19,19,2011,"Birmingham","Beechbrook Ave. Sparkhill"
"20",20,20,2011,"Birmingham","Belchers Lane"
"21",21,21,2011,"Birmingham","Belchers Lane"
"22",22,22,2011,"Birmingham","Belchers Lane"
"23",23,23,2011,"Birmingham","Belchers Lane  Bordesley Green"
"24",24,24,2011,"Birmingham","Bell Str."
"25",25,25,2011,"Birmingham","Berkley Rd East    Haymills "
"26",26,26,2011,"Birmingham","Birmingham Airport"
"27",27,27,2011,"Birmingham","Birmingham International Railway Station"
"28",28,28,2011,"Birmingham","Bordesley Green"
"29",29,29,2011,"Birmingham","Bordesley Green    Bordesley Green "
"30",30,30,2011,"Birmingham","Bristol Str."
"31",31,31,2011,"Birmingham","Bristol Str."
"32",32,32,2011,"Birmingham","Broad Str."
"33",33,33,2011,"Birmingham","Broad Str."
"34",34,34,2011,"Birmingham","Broad Str. Birmingham"
"35",35,35,2011,"Birmingham","Buckland End Lane Shard End"
"36",36,36,2011,"Birmingham","Bulls Head Ph  St Marys Row"
"37",37,37,2011,"Birmingham","Bushbury Str.  Kitts Green"
"38",38,38,2011,"Birmingham","Chartice Str."
"39",39,39,2011,"Birmingham","Chestnut Str."
"40",40,40,2011,"Birmingham","Church Rd  Stechford"
"41",41,41,2011,"Birmingham","Church Str.  Sheldon"
"42",42,42,2011,"Birmingham","Clifford Rd Dorridge "
